EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,2,2,0,2,2,2,2,13,erakond; avo; režiim; rahastamine
3,2,2,2,0,2,2,2,2,13,erakond; avo; režiim; rahastamine
3,2,2,2,0,2,2,2,2,13,erakond; avo; režiim; rahastamine
3,2,3,2,0,2,2,2,2,13,erakond; avo; režiim; rahastamine
3,2,2,2,0,2,2,2,2,13,erakond; avo; režiim; rahastamine
3,2,1,2,0,2,2,2,2,13,erakond; avo; režiim; rahastamine
2,3,3,1,0,2,2,2,2,13,erakond; avo; režiim; rahastamine
2,3,2,1,0,2,2,2,2,13,erakond; avo; režiim; rahastamine
2,3,2,2,0,3,2,2,2,13,erakond; avo; režiim; rahastamine
3,3,2,2,2,2,2,2,2,13,erakond; avo; režiim; rahastamine
2,3,2,2,0,2,2,3,2,13,erakond; avo; režiim; rahastamine
