EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,6,5,2,4,7,6,3,11,naisoboemängija; saksamaa; orkester; repertuaar; inglissarv; klassikatäht; sport; ingeli; oboe; muusikakeskkool
4,5,6,5,2,4,7,6,3,11,naisoboemängija; saksamaa; orkester; repertuaar; inglissarv; klassikatäht; sport; ingeli; oboe; muusikakeskkool
4,5,6,5,2,4,7,6,3,11,naisoboemängija; saksamaa; orkester; repertuaar; inglissarv; klassikatäht; sport; ingeli; oboe; muusikakeskkool
4,5,6,5,2,4,7,6,3,11,naisoboemängija; saksamaa; orkester; repertuaar; inglissarv; klassikatäht; sport; ingeli; oboe; muusikakeskkool
5,5,6,5,2,4,7,6,3,11,sport; naisoboemängija; saksamaa; repertuaar; klassikatäht; inglissarv; muusikakeskkool; ingeli; oboe; orkester
5,5,6,5,2,4,8,6,3,11,sport; naisoboemängija; saksamaa; orkester; repertuaar; klassikatäht; inglissarv; ingeli; oboe; muusikakeskkool
7,4,4,6,2,6,6,8,3,11,naisoboemängija; saksamaa; oboe; orkester; repertuaar; klassikatäht; sport; ingeli; inglissarv; muusikakeskkool
6,4,6,8,3,4,9,8,3,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
8,5,7,5,3,3,8,8,3,11,sport; naisoboemängija; saksamaa; orkester; repertuaar; klassikatäht; inglissarv; ingeli; oboe; muusikakeskkool
8,6,7,4,3,4,6,9,3,11,naisoboemängija; inglissarv; sport; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
8,5,6,4,4,6,6,8,3,11,naisoboemängija; saksamaa; repertuaar; inglissarv; klassikatäht; sport; muusikakeskkool; ingeli; oboe; orkester
