EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,12,8,11,7,7,6,8,8,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
9,12,8,11,7,7,6,8,8,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
9,12,8,11,7,7,6,8,8,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
9,12,8,11,7,7,6,8,8,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
9,12,8,11,7,7,6,8,8,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
9,12,8,11,7,7,6,8,8,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
9,12,8,11,7,7,6,8,8,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
9,12,8,11,7,7,6,8,8,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
9,12,8,11,7,7,6,8,8,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
9,12,8,11,7,7,6,8,8,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
9,12,8,11,7,7,6,8,8,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
