EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,4,6,5,2,4,2,8,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,8,4,6,5,2,4,2,8,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,8,4,6,5,2,4,2,8,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,8,4,6,5,2,4,2,8,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,8,4,6,5,2,4,2,8,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,8,4,6,5,2,4,2,8,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,8,4,6,5,2,4,2,8,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,8,4,6,5,2,4,2,8,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,8,4,6,5,2,4,2,8,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,8,4,6,5,2,4,2,8,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,8,4,6,5,2,4,2,8,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
