EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,8,7,2,10,10,12,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,9,8,7,2,10,10,12,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,9,8,7,2,10,10,12,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,9,8,7,2,10,10,12,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,9,8,7,2,10,10,12,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,9,8,7,2,10,10,12,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,9,8,7,2,10,10,12,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,9,8,7,2,10,10,12,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,9,8,7,2,10,10,12,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,9,8,7,2,10,10,12,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,9,8,7,2,10,10,12,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
