EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,0,4,3,5,6,3,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
5,6,0,4,3,5,6,3,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
5,6,0,4,3,5,6,3,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
5,6,0,4,3,5,6,3,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
5,6,0,4,3,5,6,3,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
6,6,0,4,3,5,6,3,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
6,6,0,4,3,3,7,3,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
6,6,0,5,3,4,6,3,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
4,7,0,3,3,5,6,3,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
7,6,2,3,3,5,7,3,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
5,7,4,3,3,4,7,3,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
