EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,0,3,1,1,1,1,0,11,rahutu; abitu; vaenlased; käsikiri; kriitika
3,1,0,3,1,1,1,1,0,11,rahutu; abitu; vaenlased; käsikiri; kriitika
3,1,0,3,1,1,1,1,0,11,rahutu; abitu; vaenlased; käsikiri; kriitika
3,1,0,3,1,1,1,1,0,11,rahutu; abitu; vaenlased; käsikiri; kriitika
3,1,0,3,1,1,1,1,0,11,rahutu; abitu; vaenlased; käsikiri; kriitika
3,1,1,2,1,1,2,1,0,11,rahutu; abitu; vaenlased; käsikiri; kriitika
3,1,2,2,1,3,3,1,0,11,rahutu; abitu; vaenlased; käsikiri; kriitika
0,0,2,1,1,3,3,2,0,11,rahutu; vaenlased; abitu; käsikiri; kriitika
0,1,1,2,1,3,2,2,0,11,abitu; vaenlased; rahutu; käsikiri; kriitika
1,2,2,1,1,3,2,1,0,11,abitu; vaenlased; rahutu; käsikiri; kriitika
1,0,1,1,2,2,2,2,0,11,abitu; vaenlased; rahutu; käsikiri; kriitika
