EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,2,2,0,3,4,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,3,3,2,2,0,3,4,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,3,3,2,2,0,3,4,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,3,3,2,2,0,3,4,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,3,3,2,2,0,3,4,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,3,3,2,2,0,3,4,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,3,3,2,2,0,3,4,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,3,3,2,2,0,3,4,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,3,3,2,2,1,3,4,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,3,3,1,2,1,3,4,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,3,3,1,2,1,3,4,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
