EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,4,1,2,2,5,4,0,11,teistmoodi; väärtused; nurk; heino; seadused
3,3,4,1,2,2,5,4,0,11,teistmoodi; väärtused; nurk; heino; seadused
3,3,4,1,2,2,5,4,0,11,teistmoodi; väärtused; nurk; heino; seadused
3,3,4,1,2,2,5,4,0,11,teistmoodi; väärtused; nurk; heino; seadused
3,3,4,1,2,2,5,4,0,11,teistmoodi; väärtused; nurk; heino; seadused
3,3,4,1,2,2,5,4,0,11,teistmoodi; väärtused; nurk; heino; seadused
3,3,4,1,2,2,5,4,0,11,teistmoodi; väärtused; nurk; heino; seadused
3,3,4,1,2,2,5,4,0,11,teistmoodi; väärtused; nurk; heino; seadused
3,3,4,1,2,2,5,4,0,11,teistmoodi; väärtused; nurk; heino; seadused
3,3,4,1,2,2,5,4,0,11,teistmoodi; väärtused; nurk; heino; seadused
3,3,4,1,2,2,5,4,0,11,teistmoodi; väärtused; nurk; heino; seadused
