EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,1,0,3,5,3,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
3,3,3,1,0,3,5,3,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
3,3,3,1,0,3,5,3,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
3,3,3,1,0,3,5,3,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
3,3,3,1,0,3,5,3,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
2,3,4,1,0,3,6,3,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
1,2,3,1,0,2,6,3,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
1,2,4,3,0,3,6,3,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
0,1,3,3,1,3,6,3,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
0,2,4,2,1,4,6,2,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
1,2,3,5,0,4,6,3,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
