EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,2,2,2,3,1,2,2,11,kristi; mulgi; pidu; ilves; koolitus; kodukohvik; turismitalu
3,4,2,2,2,3,1,2,2,11,kristi; mulgi; pidu; ilves; koolitus; kodukohvik; turismitalu
3,4,2,2,2,3,1,2,2,11,kristi; mulgi; pidu; ilves; koolitus; kodukohvik; turismitalu
3,4,2,2,2,3,1,2,2,11,kristi; mulgi; pidu; ilves; koolitus; kodukohvik; turismitalu
3,4,2,2,2,3,1,2,2,11,kristi; mulgi; pidu; ilves; koolitus; kodukohvik; turismitalu
3,4,2,2,2,3,1,2,2,11,kristi; mulgi; pidu; ilves; koolitus; kodukohvik; turismitalu
3,4,2,4,2,3,2,2,2,11,kristi; mulgi; pidu; ilves; koolitus; kodukohvik; turismitalu
5,4,2,5,2,3,3,3,2,11,kristi; mulgi; koolitus; pidu; ilves; kodukohvik; turismitalu
6,3,2,3,1,3,2,3,2,11,kristi; mulgi; koolitus; pidu; ilves; kodukohvik; turismitalu
4,2,2,3,1,3,3,2,2,11,kristi; mulgi; koolitus; pidu; ilves; kodukohvik; turismitalu
3,1,2,3,1,3,2,2,2,11,kristi; mulgi; koolitus; ilves; pidu; kodukohvik; turismitalu
