EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,3,1,3,2,4,3,0,12,trahv; karistus; port; facebook; kristjan; euroopa
3,2,3,1,3,2,4,3,0,12,trahv; karistus; port; facebook; kristjan; euroopa
3,2,3,1,3,2,4,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
3,2,3,1,3,2,4,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
3,2,3,1,3,2,4,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
3,2,4,1,3,2,4,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
3,3,4,2,2,2,4,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
2,3,4,2,3,2,6,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
3,3,4,1,3,2,6,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
3,3,3,1,2,2,3,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
5,2,4,1,2,2,2,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
