EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,4,2,2,5,4,3,0,10,õigus; talu; vabadus; kolhoos; varandus
4,3,4,2,2,5,4,3,0,10,õigus; talu; vabadus; kolhoos; varandus
4,3,4,2,2,5,4,3,0,10,õigus; talu; vabadus; kolhoos; varandus
4,3,4,2,2,5,4,3,0,10,õigus; talu; vabadus; kolhoos; varandus
4,3,4,2,2,5,4,3,0,10,õigus; talu; vabadus; kolhoos; varandus
4,3,4,2,2,5,4,3,0,10,õigus; talu; vabadus; kolhoos; varandus
4,3,4,2,2,5,4,3,0,10,õigus; talu; vabadus; kolhoos; varandus
4,3,4,2,2,5,4,3,0,10,õigus; talu; vabadus; kolhoos; varandus
4,3,4,2,2,5,5,3,0,10,õigus; talu; vabadus; kolhoos; varandus
4,3,4,2,2,5,5,3,0,10,õigus; talu; vabadus; kolhoos; varandus
4,2,4,2,3,5,5,3,0,10,õigus; talu; vabadus; kolhoos; varandus
