EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,2,5,1,3,2,2,2,3,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
5,2,5,1,3,2,2,2,3,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
5,2,5,1,3,2,2,2,3,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
5,2,5,1,3,2,2,2,3,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
5,2,5,1,3,2,2,2,3,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
5,2,4,1,3,2,2,2,3,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
5,2,4,1,3,3,2,3,3,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
5,2,5,1,3,3,3,4,3,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
4,3,5,1,3,3,3,4,3,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
4,2,5,1,3,3,2,5,3,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
4,3,4,3,3,3,2,5,3,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
