EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,1,1,1,1,1,3,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
4,3,1,1,1,1,1,3,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
4,3,1,1,1,1,1,3,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
4,3,1,1,1,1,1,3,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
4,3,1,1,1,1,1,3,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
4,3,1,1,1,1,2,3,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
4,3,2,2,1,3,2,3,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
4,2,1,1,1,2,2,3,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
3,2,1,1,1,4,2,3,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
3,2,2,3,1,4,3,3,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
2,4,1,3,2,3,1,3,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
