EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,4,7,3,6,8,5,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,7,4,7,3,6,8,5,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,7,4,7,3,6,8,5,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,7,4,7,3,6,8,5,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,7,4,7,3,6,8,5,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,7,4,7,3,6,8,5,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,7,4,7,3,6,8,5,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,7,4,7,3,6,8,5,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
7,7,4,8,3,6,8,5,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
7,7,4,8,3,6,8,5,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
7,7,4,8,3,6,8,5,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
