EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,2,1,1,2,3,2,0,10,teadus; riigikogu; akadeemia; tulemus
1,1,2,1,1,2,3,2,0,10,teadus; riigikogu; akadeemia; tulemus
1,1,2,1,1,2,3,2,0,10,teadus; riigikogu; akadeemia; tulemus
1,1,2,1,1,2,3,2,0,10,teadus; riigikogu; akadeemia; tulemus
1,1,2,1,1,2,3,2,0,10,teadus; riigikogu; akadeemia; tulemus
1,1,2,1,1,2,3,2,0,10,teadus; riigikogu; akadeemia; tulemus
1,1,2,1,1,2,3,2,0,10,teadus; riigikogu; akadeemia; tulemus
1,1,2,1,1,2,3,3,0,10,teadus; riigikogu; akadeemia; tulemus
1,1,2,1,1,2,3,2,0,10,teadus; riigikogu; akadeemia; tulemus
1,1,2,1,1,2,3,3,0,10,teadus; riigikogu; akadeemia; tulemus
1,1,2,1,1,2,3,3,0,10,teadus; riigikogu; akadeemia; tulemus
