EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,3,4,4,4,4,5,0,11,aktiivne; klaas; mendelejevi; muldmetall; eerik; neodüüm; mart
6,4,3,4,4,4,4,5,0,11,aktiivne; klaas; mendelejevi; muldmetall; eerik; neodüüm; mart
6,4,3,4,4,4,4,5,0,11,aktiivne; klaas; mendelejevi; muldmetall; eerik; neodüüm; mart
6,4,3,4,4,4,4,5,0,11,aktiivne; klaas; mendelejevi; muldmetall; eerik; neodüüm; mart
6,4,3,4,4,4,4,5,0,11,aktiivne; klaas; mendelejevi; muldmetall; eerik; neodüüm; mart
6,4,3,4,4,4,4,5,0,11,aktiivne; klaas; mendelejevi; muldmetall; eerik; neodüüm; mart
6,4,3,4,4,4,4,5,0,11,aktiivne; klaas; mendelejevi; muldmetall; eerik; neodüüm; mart
6,4,3,4,4,4,4,5,0,11,aktiivne; klaas; mendelejevi; muldmetall; eerik; neodüüm; mart
6,4,3,4,4,4,4,5,0,11,aktiivne; klaas; mendelejevi; muldmetall; eerik; neodüüm; mart
6,4,3,4,4,4,4,5,0,11,aktiivne; klaas; mendelejevi; muldmetall; eerik; neodüüm; mart
6,4,3,4,4,4,4,5,0,11,aktiivne; klaas; mendelejevi; muldmetall; eerik; neodüüm; mart
