EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,1,2,1,1,2,3,1,0,11,kristjan; epideemia; kuritegevus; sihtrühm; port
4,1,2,1,1,2,3,1,0,11,kristjan; epideemia; kuritegevus; sihtrühm; port
4,1,2,1,1,2,3,1,0,11,kristjan; epideemia; kuritegevus; sihtrühm; port
4,1,2,1,1,2,3,1,0,11,kristjan; epideemia; kuritegevus; sihtrühm; port
4,1,2,1,1,2,3,1,0,11,kristjan; epideemia; kuritegevus; sihtrühm; port
4,1,2,2,1,2,4,1,0,11,kristjan; epideemia; kuritegevus; sihtrühm; port
2,1,3,3,1,0,4,1,0,11,kristjan; epideemia; kuritegevus; sihtrühm; port
1,1,3,2,1,1,4,1,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
3,2,5,3,1,3,4,1,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
2,2,5,2,1,3,4,1,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
2,2,5,3,1,3,4,1,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
