EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,5,4,3,4,4,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
6,3,5,4,3,4,4,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
6,3,5,4,3,4,4,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
6,3,5,4,3,4,4,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
6,3,5,4,3,4,4,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
6,3,5,4,3,4,4,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
6,3,5,4,3,4,4,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
6,3,5,4,3,4,3,3,0,11,aeg; jõulud; süsteem; jõulurõõmud; vaba; tegutsemisaeg
6,3,5,2,3,5,3,3,0,11,aeg; jõulud; süsteem; jõulurõõmud; vaba; tegutsemisaeg
6,4,4,2,3,6,3,2,0,11,aeg; jõulud; süsteem; jõulurõõmud; vaba; tegutsemisaeg
5,3,4,1,3,6,4,3,0,11,aeg; jõulud; süsteem; jõulurõõmud; vaba; tegutsemisaeg
