EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,3,2,1,3,4,1,0,12,kristjan; portaal; nobeli; port
3,2,3,2,1,3,4,1,0,12,kristjan; portaal; nobeli; port
3,2,3,2,1,3,4,1,0,12,kristjan; portaal; nobeli; port
3,2,3,2,1,3,4,1,0,12,kristjan; portaal; nobeli; port
3,2,3,2,1,3,4,1,0,12,kristjan; portaal; nobeli; port
3,2,4,2,1,3,4,1,0,12,kristjan; portaal; nobeli; port
3,2,4,2,1,3,4,1,0,12,kristjan; portaal; nobeli; port
2,2,4,3,1,3,4,1,0,12,portaal; nobeli; port; kristjan
2,2,4,4,2,3,4,1,0,12,portaal; nobeli; port; kristjan
1,3,4,4,2,3,4,1,0,12,portaal; nobeli; port; kristjan
2,3,4,3,2,3,4,1,0,12,kristjan; portaal; nobeli; port
