EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,4,4,2,4,3,3,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,2,4,4,2,4,3,3,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,2,4,4,2,4,3,3,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,2,4,4,2,4,3,3,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,2,4,4,2,4,3,3,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,2,4,4,2,4,3,3,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,2,5,4,2,4,3,3,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,2,5,4,2,4,4,3,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,2,5,4,2,4,3,3,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,2,5,4,2,4,4,3,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,2,5,4,1,4,5,3,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
