EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,5,5,3,3,3,6,4,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
5,4,5,5,3,3,3,6,4,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
5,4,5,5,3,3,3,6,4,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
5,4,5,5,3,3,3,6,4,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
5,4,5,5,3,3,3,6,4,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
5,4,5,5,3,3,3,6,4,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
5,4,5,5,3,3,3,6,4,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
4,4,5,5,3,3,3,6,4,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
4,4,5,4,3,3,3,6,4,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
5,4,4,4,3,3,5,6,4,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
6,5,4,4,2,4,5,6,6,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
