EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,6,1,4,5,9,7,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
9,7,6,1,4,5,9,7,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
9,7,6,1,4,5,9,7,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
9,7,6,1,4,5,9,7,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
9,7,6,1,4,5,9,7,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
9,7,6,1,4,5,9,7,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
9,7,6,1,4,6,9,7,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
8,7,6,1,4,5,9,7,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
11,8,5,1,4,5,9,7,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
11,9,5,4,4,6,9,7,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
10,8,5,4,4,7,10,10,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
