EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,2,2,1,1,6,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,6,2,2,1,1,6,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,6,2,2,1,1,6,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,6,2,2,1,1,6,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,6,2,2,1,1,6,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,6,2,2,1,1,6,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
1,3,2,2,1,2,6,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
7,3,2,2,1,2,6,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,6,2,3,1,3,6,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
3,3,2,3,1,4,6,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
3,3,2,5,2,4,5,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
