EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,2,3,4,0,7,7,2,0,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
6,2,3,4,0,7,7,2,0,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
6,2,3,4,0,7,7,2,0,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
6,2,3,4,0,7,7,2,0,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
6,2,3,4,0,7,7,2,0,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
6,2,6,4,0,8,7,2,0,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
4,2,6,7,0,8,8,2,0,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
2,2,4,3,0,7,8,2,0,14,peeter; urmas; keiu; vadi; virro; lavastaja; võõras; rästas
2,2,5,4,0,8,8,2,0,14,peeter; urmas; keiu; vadi; virro; lavastaja; võõras; rästas
1,3,3,4,0,6,8,2,0,14,peeter; urmas; keiu; vadi; virro; lavastaja; võõras; rästas
1,4,3,4,0,5,8,3,0,14,peeter; urmas; keiu; vadi; virro; lavastaja; võõras; rästas
