EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,4,2,2,5,3,4,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
5,3,4,2,2,5,3,4,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
5,3,4,2,2,5,3,4,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
5,3,4,2,2,5,3,4,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
5,3,4,2,2,5,3,4,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,3,4,2,2,5,3,4,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
5,3,4,3,2,5,3,6,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,3,4,3,2,5,3,6,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,3,4,1,2,5,5,6,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,2,4,4,2,4,4,5,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,2,4,5,2,4,6,6,5,12,hämarik; faehlmann; robert; päike; friedrich; koit
