EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,5,5,1,3,2,4,2,0,10,koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
1,5,5,1,3,2,4,2,0,10,koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
1,5,5,1,3,2,4,2,0,10,koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
1,5,5,1,3,2,4,2,0,10,koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
1,5,5,1,3,2,4,2,0,10,koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
2,4,5,1,3,2,4,2,0,10,koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
2,4,4,2,2,3,4,2,0,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; käekiri
6,4,5,2,2,2,4,2,0,10,koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
4,3,4,2,2,2,4,3,0,10,koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
5,3,3,1,2,2,3,3,0,10,koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
5,1,2,2,2,2,3,2,0,10,koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
