keyphrase;score
pop hiphop;0.8569
surnud queen;0.8553
ütlema võistlus;0.8492
queen laulja;0.8473
võistlus traditsioon;0.838
uunikum 1982;0.8367
võistlus teinekord;0.8339
mercury lugu;0.8324
võistlus esinemine;0.8304
barcelona olümpia;0.8259
esmailmumine tõusma;0.8255
kütma võistlus;0.8248
freddie mercury;0.8243
eesti kümnevõistleja;0.8213
monster raagabaie;0.8192
tuju võistlus;0.8177
olümpiamängud live;0.8148
raagabaie esmailmumine;0.8143
hästi aed;0.8133
mercury sündmus;0.8059
lugu muusikapala;0.8048
äär stiil;0.8038
tiitlivõistlus koht;0.802
rahustav muusika;0.8008
enamus muusika;0.8005
surema olümpiamängud;0.8
tõusma laul;0.7991
pisike aippuv;0.7991
aasta maailmameistrivõistlus;0.7944
jääma kabajee;0.794
hästi kütma;0.7934
olümpiamängud esinemine;0.7932
käima enamus;0.7922
seostuma lapsepõlv;0.7922
album barcelona;0.7922
laul inglismaa;0.792
ala hästi;0.791
hiphop meeldima;0.7909
barcelona 1987;0.7883
maailmameistrivõistlus tiitlivõistlus;0.7878
muusikapala hästi;0.7872
sissejuhatus muusika;0.7863
koosa barcelona;0.7852
kuulamine moodi;0.7837
jääma aids;0.7832
ooperidiiv monster;0.7831
üldse olümpia;0.7828
andres rada;0.7792
mängima auto;0.7791
olümpia käima;0.7773
inglismaa edetabel;0.7768
andres lemmiklaul;0.7752
nõus esitama;0.7752
rääkima sissejuhatus;0.7743
jääma alfa;0.7737
kabajee nõus;0.7729
muusika kuulamine;0.7728
avatseremoonia üldse;0.7727
aids surnud;0.7722
mercury surema;0.7718
valima pop;0.7704
pärinema 2009;0.7698
aeg mercury;0.7695
viimane barcelona;0.7693
mercury salvestama;0.7693
fredi mercury;0.7688
aasta olümpiamängud;0.7687
1992 aasta;0.7672
aippuv aeg-ajalt;0.7663
kataloonia ooperidiiv;0.7644
üldse käima;0.7637
barcelona sündinud;0.7629
aasta leningrad;0.7619
auto pidevalt;0.761
esinemine sport;0.7594
meeldima klassika;0.759
barcelonal aeg;0.7588
esinemine siiamaani;0.7587
kuulama klassikaraadio;0.7584
koht barcelonal;0.7582
käima meenuma;0.7577
mäletama hästi;0.757
sündinud kataloonia;0.7547
ala ala;0.7545
kümnevõistleja isiklik;0.7541
leningrad sündinud;0.7513
lapsepõlv oskama;0.7497
moodi üldse;0.7489
rada ütlema;0.7479
ettekanne lugu;0.746
sündmus mäletama;0.7458
olümpiamängud toimumispaik;0.7454
klassikaraadio mängima;0.7452
plaat jääma;0.7441
andres kuulama;0.7433
lugu jääma;0.7419
laulma laul;0.7411
alfa hull;0.741
salvestama album;0.739
esinema barcelona;0.737
pidevalt muusikamaitse;0.7367
live ettekanne;0.7367
muusikamaitse erinev;0.7364
kuulama uunikum;0.7352
meeldima väike;0.7342
video vahendus;0.7341
sort lugu;0.733
8119 punkt;0.7328
aastanumber ametlikult;0.7326
teinekord maha;0.7317
tartlane esinema;0.7309
toimumispaik mõrkur;0.7267
mitmevõistleja vaja;0.7261
olümpia laulma;0.726
mäng spetsiaalne;0.7258
sport aru;0.7241
lint laulma;0.7223
esitama video;0.7221
1987 aasta;0.722
mercury esinema;0.7214
rada eesti;0.7196
koht andres;0.7194
klassika kuulama;0.7194
1982 aasta;0.7183
esinemine laulmine;0.7171
mõrkur tellimus;0.7168
hull juhtuma;0.7158
ametlikult ilmunud;0.7132
muusika kuulama;0.7117
jääma vaheline;0.7099
meenutama 15;0.7095
pakkuma rääkima;0.7092
koht 10;0.709
laulja viimane;0.7077
punkt pärinema;0.7073
spetsiaalne laul;0.7069
vaja ala;0.7061
rahulik jääma;0.7061
aru freddie;0.7057
15 koht;0.7052
esinema esinemine;0.7044
vaheline rahustav;0.7026
meenuma olümpiamängud;0.7024
kuulama teinekord;0.7021
leppima rada;0.7013
barcelona valima;0.7011
aasta aastanumber;0.6989
laul sündima;0.6988
maha jääma;0.6981
laulmine avatseremoonia;0.6974
eriti valima;0.6974
teinekord vaja;0.6933
kirjutama mäng;0.6926
väike kuulama;0.6922
aed rahulik;0.6917
hästi ;0.6891
lugu koosa;0.6883
valima 1992;0.6867
olenema tuju;0.6861
2009 aasta;0.6851
hing ütlema;0.6841
kuulama pisike;0.6808
laulma mercury;0.68
87 teadma;0.6788
tellimus kirjutama;0.6756
oskama ütlema;0.6755
eriti eriti;0.6716
ilmunud plaat;0.6671
teadma freddie;0.6668
aeg-ajalt valima;0.6641
stiil eriti;0.6589
valima kuulama;0.6587
isiklik rekord;0.6585
vahendus fredi;0.6554
traditsioon kuulama;0.6547
kuulama 87;0.6522
mäletama vaatama;0.6482
meeldima kuulama;0.6473
edetabel kaheksas;0.6472
lemmiklaul pakkuma;0.6453
muutuma meeldima;0.6427
siiamaani seostuma;0.6418
vaatama tartlane;0.64
vaja mitmevõistleja;0.6382
10 leppima;0.6353
tulemus muutuma;0.6318
rekord 8119;0.6308
sündinud andres;0.628
ütlema mäletama;0.6232
juhtuma tulemus;0.6074
isiklikult meeldima;0.6048
kuulama sort;0.5982
kaheksas koht;0.5937
laul hing;0.5915
kuulama äär;0.5897
ütlema soovima;0.5841
erinev olenema;0.566
soovima meenutama;0.546
sündima lint;0.5174
kuulama isiklikult;0.4909
