Model name,F1 score
EstBERT,4.266972087406368
est-roberta,5.471159030097973
LaBSE,10.21203826933049
bertMulti,2.30678066789178
distilbertMulti,2.344937841984565
MiniLM_multi,8.893011491736472
MiniLM-L12_multi,10.412182564293698
multi_e5,7.5915678146928816
xml_roberta,3.2330839063176566
EstBERT,4.266972087406368
est-roberta,5.471159030097973
LaBSE,10.21203826933049
bertMulti,2.30678066789178
distilbertMulti,2.3978478948946185
MiniLM_multi,8.893011491736472
MiniLM-L12_multi,10.412182564293698
multi_e5,7.5915678146928816
xml_roberta,3.302033475267226
EstBERT,4.266972087406368
est-roberta,5.471159030097973
LaBSE,10.21203826933049
bertMulti,2.30678066789178
distilbertMulti,2.3978478948946185
MiniLM_multi,8.893011491736472
MiniLM-L12_multi,10.412182564293698
multi_e5,7.5915678146928816
xml_roberta,3.4928971383531113
EstBERT,4.266972087406368
est-roberta,5.471159030097973
LaBSE,10.422252161430848
bertMulti,2.30678066789178
distilbertMulti,2.3978478948946185
MiniLM_multi,8.893011491736472
MiniLM-L12_multi,10.412182564293698
multi_e5,7.541062764187832
xml_roberta,3.490760386216359
EstBERT,4.266972087406368
est-roberta,5.471159030097973
LaBSE,9.64052147205586
bertMulti,2.30678066789178
distilbertMulti,2.3978478948946185
MiniLM_multi,8.69006634606687
MiniLM-L12_multi,10.377460342071476
multi_e5,7.539247223156606
xml_roberta,3.3939590394150123
EstBERT,4.266972087406368
est-roberta,5.377382923163971
LaBSE,9.31722326830634
bertMulti,2.30678066789178
distilbertMulti,2.3978478948946185
MiniLM_multi,8.224022189749233
MiniLM-L12_multi,9.694338093448888
multi_e5,7.030888339086147
xml_roberta,3.435111302789498
EstBERT,4.227631263990916
est-roberta,5.335295381076429
LaBSE,8.958068777351068
bertMulti,2.442322277698095
distilbertMulti,2.3978478948946185
MiniLM_multi,8.124490944707151
MiniLM-L12_multi,9.146485881638991
multi_e5,6.779847351560994
xml_roberta,3.4515032928656995
EstBERT,4.038995136534413
est-roberta,4.883467507746507
LaBSE,8.798116813857346
bertMulti,2.4574310795716023
distilbertMulti,2.3978478948946185
MiniLM_multi,7.989176455775353
MiniLM-L12_multi,8.53978152574199
multi_e5,6.148752783193288
xml_roberta,3.4739271409474415
EstBERT,4.31207646554799
est-roberta,4.83113923139054
LaBSE,8.684056156305203
bertMulti,2.525870666202125
distilbertMulti,2.3978478948946185
MiniLM_multi,7.553662491561202
MiniLM-L12_multi,8.63627689235912
multi_e5,5.955134420326198
xml_roberta,3.4769935190138197
EstBERT,3.7771879943759643
est-roberta,4.755428781641301
LaBSE,8.179887811438352
bertMulti,2.5117373731709827
distilbertMulti,2.3978478948946185
MiniLM_multi,7.264303121546341
MiniLM-L12_multi,7.9252450955430085
multi_e5,6.280133722041184
xml_roberta,3.6350100882146
EstBERT,3.9193576975926474
est-roberta,4.71046297464182
LaBSE,8.601724014489713
bertMulti,2.799748517799774
distilbertMulti,2.3485778456245687
MiniLM_multi,7.0592131578113655
MiniLM-L12_multi,7.999279086243666
multi_e5,6.167297257489036
xml_roberta,3.5472921932211623
