Model name,F1 score
EstBERT,2.933748904102395
est-roberta,2.743570466359827
LaBSE,5.876159243120903
bertMulti,0.430465367965368
distilbertMulti,1.6698098856805301
MiniLM_multi,4.482675002237619
MiniLM-L12_multi,4.800693252500272
multi_e5,4.427346767280544
xml_roberta,2.326708156601518
EstBERT,2.933748904102395
est-roberta,2.743570466359827
LaBSE,5.876159243120903
bertMulti,0.430465367965368
distilbertMulti,1.6698098856805301
MiniLM_multi,4.482675002237619
MiniLM-L12_multi,4.800693252500272
multi_e5,4.427346767280544
xml_roberta,2.355920659498232
EstBERT,2.933748904102395
est-roberta,2.743570466359827
LaBSE,5.915841782803444
bertMulti,0.430465367965368
distilbertMulti,1.6698098856805301
MiniLM_multi,4.482675002237619
MiniLM-L12_multi,4.800693252500272
multi_e5,4.427346767280544
xml_roberta,2.3752366261826197
EstBERT,2.933748904102395
est-roberta,2.7038879266772864
LaBSE,5.750155950840023
bertMulti,0.430465367965368
distilbertMulti,1.6698098856805301
MiniLM_multi,4.482675002237619
MiniLM-L12_multi,4.800693252500272
multi_e5,4.427346767280544
xml_roberta,2.2100217241256126
EstBERT,2.933748904102395
est-roberta,2.7805328319512244
LaBSE,6.158078548145259
bertMulti,0.430465367965368
distilbertMulti,1.6698098856805301
MiniLM_multi,4.532023801586417
MiniLM-L12_multi,4.769829054969408
multi_e5,4.341876681810458
xml_roberta,2.1752995019033903
EstBERT,2.9702112284957543
est-roberta,2.6920697921134678
LaBSE,6.14202819989654
bertMulti,0.344486531986532
distilbertMulti,1.6698098856805301
MiniLM_multi,4.138088545809057
MiniLM-L12_multi,3.98419805274914
multi_e5,3.892489797052058
xml_roberta,2.2100217241256126
EstBERT,2.7295238675018796
est-roberta,2.7755718707324926
LaBSE,6.098362320968784
bertMulti,0.453498377840483
distilbertMulti,1.7034799193505639
MiniLM_multi,3.9270737980296038
MiniLM-L12_multi,3.6109384505808695
multi_e5,3.2716569834947884
xml_roberta,2.2100217241256126
EstBERT,2.415402800372101
est-roberta,2.3638207035465433
LaBSE,6.084712353805739
bertMulti,0.8349774652019233
distilbertMulti,1.7034799193505639
MiniLM_multi,3.872200790274581
MiniLM-L12_multi,3.3503017441882297
multi_e5,3.57289637877443
xml_roberta,2.1515421919618696
EstBERT,2.1039394412390284
est-roberta,2.267952065543345
LaBSE,5.770537794283232
bertMulti,1.1636151038885816
distilbertMulti,1.7034799193505639
MiniLM_multi,3.9837095945078427
MiniLM-L12_multi,3.236156914034628
multi_e5,3.5376815935596455
xml_roberta,2.197838488258166
EstBERT,2.1751695333189107
est-roberta,2.323382013543985
LaBSE,5.80031732512329
bertMulti,1.3609071606029013
distilbertMulti,1.8340936248434963
MiniLM_multi,4.133877494322109
MiniLM-L12_multi,2.7930536636558365
multi_e5,3.304541113954776
xml_roberta,2.311873575977464
EstBERT,2.0123335074354607
est-roberta,2.093117322363906
LaBSE,5.5837328314977315
bertMulti,1.398926273699413
distilbertMulti,1.8412505402129717
MiniLM_multi,3.930669890379211
MiniLM-L12_multi,2.7700938225630405
multi_e5,3.335248118603989
xml_roberta,2.2582017361214133
