Model name,F1 score
EstBERT,2.9565767434837738
est-roberta,2.9260205606491367
LaBSE,7.6748176974890905
bertMulti,0.54495966995967
distilbertMulti,0.9332713071547954
MiniLM_multi,5.013020899954198
MiniLM-L12_multi,5.5210886980040295
multi_e5,5.820138442609758
xml_roberta,2.0736761303163163
EstBERT,2.9565767434837738
est-roberta,2.9272976998573106
LaBSE,7.6748176974890905
bertMulti,0.54495966995967
distilbertMulti,0.9332713071547954
MiniLM_multi,5.013020899954198
MiniLM-L12_multi,5.576644253559585
multi_e5,5.820138442609758
xml_roberta,2.049617143430532
EstBERT,2.9565767434837738
est-roberta,2.9272976998573106
LaBSE,7.6748176974890905
bertMulti,0.54495966995967
distilbertMulti,0.9332713071547954
MiniLM_multi,5.013020899954198
MiniLM-L12_multi,5.576644253559585
multi_e5,5.820138442609758
xml_roberta,2.174526955840345
EstBERT,2.9565767434837738
est-roberta,2.9272976998573106
LaBSE,7.35018406628794
bertMulti,0.54495966995967
distilbertMulti,0.9332713071547954
MiniLM_multi,5.013020899954198
MiniLM-L12_multi,5.576644253559585
multi_e5,5.820138442609758
xml_roberta,2.0203501141635027
EstBERT,2.9520428213253305
est-roberta,2.8522357247953356
LaBSE,7.680269308673392
bertMulti,0.54495966995967
distilbertMulti,0.9332713071547954
MiniLM_multi,4.86348881741558
MiniLM-L12_multi,5.536961713877045
multi_e5,5.734886862089317
xml_roberta,2.0203501141635027
EstBERT,2.9404964660758273
est-roberta,2.9693755294351405
LaBSE,7.596331491884947
bertMulti,0.45898083398083395
distilbertMulti,0.9332713071547954
MiniLM_multi,4.329487118448443
MiniLM-L12_multi,4.616688136063921
multi_e5,5.532202154869189
xml_roberta,2.053029852725594
EstBERT,2.739652675360305
est-roberta,3.098614672681074
LaBSE,7.380330645818069
bertMulti,0.6142889761310815
distilbertMulti,0.9332713071547954
MiniLM_multi,4.787483900127498
MiniLM-L12_multi,4.373940778661389
multi_e5,5.4285241213130755
xml_roberta,2.053029852725594
EstBERT,2.4831290721248416
est-roberta,2.9548955466882516
LaBSE,7.475189143133545
bertMulti,0.983192618641535
distilbertMulti,0.8921190437803098
MiniLM_multi,4.461324321437837
MiniLM-L12_multi,4.350230304865665
multi_e5,5.508857851973604
xml_roberta,2.018307630503372
EstBERT,2.4339018902458767
est-roberta,2.944173865569084
LaBSE,7.922427244291532
bertMulti,1.2953614439682553
distilbertMulti,0.8921190437803098
MiniLM_multi,4.808409870239074
MiniLM-L12_multi,4.433655615541934
multi_e5,5.552765336563061
xml_roberta,2.1933178055135474
EstBERT,1.9416172419450657
est-roberta,2.8505444320957967
LaBSE,7.991591736080346
bertMulti,1.3530496707741289
distilbertMulti,1.0191387815215687
MiniLM_multi,4.588943549379564
MiniLM-L12_multi,4.371145480147382
multi_e5,5.115973627144934
xml_roberta,2.186794236489978
EstBERT,1.8585628087760888
est-roberta,2.6907956364332257
LaBSE,8.176905529867712
bertMulti,1.2386786449608946
distilbertMulti,1.0939610785660878
MiniLM_multi,4.845886687940349
MiniLM-L12_multi,3.99307702536324
multi_e5,4.941467510976452
xml_roberta,2.0974460846418257
