EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,9,6,7,5,6,5,6,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
8,9,9,6,7,5,6,5,6,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
9,9,9,6,7,5,7,5,6,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
9,8,9,6,7,4,7,5,6,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
8,8,8,6,6,7,7,6,6,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
8,8,8,6,7,6,6,6,6,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
8,8,7,7,8,6,6,6,5,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
8,8,5,7,8,6,6,8,6,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
7,8,7,8,8,6,6,8,6,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
8,7,6,8,8,6,6,8,7,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
6,7,6,8,7,6,7,7,7,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
