EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,7,6,4,4,4,5,3,12,regulatsioon; andmete; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
6,5,6,6,4,4,3,5,2,12,regulatsioon; andmete; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
6,4,6,6,4,4,3,5,2,12,regulatsioon; andmete; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
6,4,4,6,4,4,3,4,3,12,regulatsioon; andmete; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
6,4,5,4,4,4,3,4,2,12,regulatsioon; andmete; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
6,5,3,4,5,4,4,5,2,12,regulatsioon; andmete; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
5,3,2,4,6,2,3,2,3,12,andmete; regulatsioon; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
5,3,1,3,6,2,3,3,3,12,regulatsioon; kuhjumine; tavakodanik; euroopa; andmesubjekt; infoajastu; andmete
4,3,1,4,6,2,3,4,4,12,regulatsioon; kuhjumine; tavakodanik; euroopa; andmesubjekt; infoajastu; andmete
2,2,1,3,6,3,3,5,5,12,regulatsioon; kuhjumine; tavakodanik; euroopa; andmesubjekt; infoajastu; andmete
3,3,4,3,6,2,2,5,5,12,regulatsioon; kuhjumine; tavakodanik; euroopa; andmesubjekt; infoajastu; andmete
