EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,7,3,5,3,2,5,4,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
6,5,7,3,5,3,2,5,4,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
5,5,7,3,5,3,2,4,4,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
5,4,6,3,4,3,2,4,4,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
5,4,6,3,4,2,2,3,4,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
4,5,5,2,4,1,3,4,4,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
3,5,3,3,4,1,3,5,5,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
4,5,4,3,4,3,3,5,5,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
4,5,5,5,4,3,4,5,5,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
4,4,5,5,4,0,4,5,5,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
3,4,4,3,5,1,5,6,5,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
