EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,7,5,3,5,5,5,5,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
6,4,7,6,3,6,5,5,5,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
6,4,6,5,3,6,6,6,5,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
5,3,6,5,3,6,7,5,5,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
5,3,6,5,3,5,5,6,5,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
4,3,5,5,3,5,5,6,5,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
5,4,5,5,3,4,5,6,5,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
6,4,5,5,4,5,4,6,5,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
6,4,5,5,4,5,4,5,4,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
4,4,6,5,4,6,4,7,4,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
5,5,6,5,4,6,4,7,3,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
