EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
14,14,14,14,14,14,14,14,14,16,vahur; tunnustus; tiisler; tarmo; jürgens; kersna; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,14,16,vahur; tunnustus; tiisler; tarmo; jürgens; kersna; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,14,16,vahur; tunnustus; tiisler; tarmo; jürgens; kersna; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,14,16,vahur; tunnustus; tiisler; tarmo; jürgens; kersna; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,14,16,vahur; tunnustus; tiisler; tarmo; jürgens; kersna; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,14,16,vahur; tunnustus; tiisler; tarmo; jürgens; kersna; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,14,16,vahur; tunnustus; tiisler; tarmo; jürgens; kersna; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,14,16,vahur; tunnustus; tiisler; tarmo; jürgens; kersna; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,14,16,vahur; tunnustus; tiisler; tarmo; jürgens; kersna; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,14,16,vahur; tunnustus; tiisler; tarmo; jürgens; kersna; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,14,16,vahur; tunnustus; tiisler; tarmo; jürgens; kersna; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; naissoo
