EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,8,8,7,6,5,6,8,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; reisimine; kesk-aasia; diktatuur; autor
7,7,8,8,7,6,5,6,8,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; reisimine; kesk-aasia; diktatuur; autor
7,6,8,8,7,6,6,5,8,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; reisimine; kesk-aasia; diktatuur; autor
7,5,6,8,7,6,6,4,8,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; reisimine; kesk-aasia; diktatuur; autor
7,5,6,8,7,5,5,6,8,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; reisimine; kesk-aasia; diktatuur; autor
7,5,6,8,7,7,6,6,9,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; reisimine; kesk-aasia; diktatuur; autor
7,5,6,7,8,7,6,6,9,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; reisimine; kesk-aasia; diktatuur; autor
7,4,5,7,8,9,5,6,8,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; reisimine; kesk-aasia; diktatuur; autor
5,4,5,7,7,9,4,6,7,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; reisimine; kesk-aasia; diktatuur; autor
5,3,4,7,7,8,4,7,7,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; reisimine; kesk-aasia; diktatuur; autor
6,2,4,7,5,7,4,7,7,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; reisimine; kesk-aasia; diktatuur; autor
