EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,4,3,4,4,3,2,4,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
5,5,1,3,5,3,3,1,4,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
5,5,1,3,5,1,3,1,4,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
5,5,2,3,5,2,3,0,4,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
5,5,2,4,5,4,5,1,4,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
5,6,2,3,4,3,5,4,5,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
5,5,3,2,5,3,4,3,5,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
5,6,3,3,4,5,4,4,5,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,6,4,4,5,5,4,5,6,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
4,5,4,3,4,5,4,5,6,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
4,6,4,4,3,5,6,6,6,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
