EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,1,1,3,3,1,1,1,2,13,kasumi; reguleerimata; masside; maksimeerimine
4,1,1,3,3,2,1,2,2,13,kasumi; reguleerimata; masside; maksimeerimine
4,1,1,3,3,3,1,2,2,13,kasumi; reguleerimata; masside; maksimeerimine
4,1,2,3,3,4,1,2,2,13,kasumi; reguleerimata; masside; maksimeerimine
3,1,4,4,3,4,2,2,2,13,kasumi; reguleerimata; masside; maksimeerimine
3,1,4,4,4,4,1,1,2,13,kasumi; reguleerimata; masside; maksimeerimine
3,2,3,3,4,4,3,1,2,13,kasumi; reguleerimata; masside; maksimeerimine
3,2,4,4,4,4,2,2,2,13,kasumi; reguleerimata; masside; maksimeerimine
4,2,4,3,4,3,2,3,1,13,kasumi; reguleerimata; masside; maksimeerimine
3,1,4,3,4,3,3,4,2,13,kasumi; reguleerimata; masside; maksimeerimine
3,1,4,2,4,3,3,4,3,13,kasumi; reguleerimata; masside; maksimeerimine
