EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,4,1,4,4,3,2,5,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,5,4,1,4,3,3,2,5,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,4,3,1,4,3,3,2,5,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,4,4,1,4,3,3,2,5,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,4,2,1,4,4,3,2,5,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
4,4,4,1,3,3,4,2,5,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,4,4,3,3,4,5,4,5,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
4,4,3,3,3,2,4,3,5,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
2,4,3,5,4,2,3,3,5,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
2,3,3,5,4,3,3,3,3,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
2,2,2,4,4,3,2,3,0,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
