EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,11,9,10,8,8,10,7,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
10,11,11,9,10,8,8,10,7,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
11,11,11,9,9,8,8,10,7,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
11,11,11,9,9,9,8,10,7,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
11,10,11,9,9,10,11,10,7,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
11,10,10,9,10,10,11,11,9,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
11,10,10,8,10,10,11,11,10,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
11,10,10,10,10,10,9,11,10,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
11,11,10,11,8,10,9,11,9,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
11,10,9,11,9,10,8,11,10,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
11,10,9,10,8,10,8,11,10,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
