EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,3,3,3,3,3,3,10,kogudus; orel; sünnipäev
3,3,3,3,3,3,3,3,3,10,kogudus; orel; sünnipäev
3,3,3,3,3,3,3,3,3,10,kogudus; orel; sünnipäev
3,3,3,3,3,3,3,3,3,10,kogudus; orel; sünnipäev
3,3,3,3,3,3,3,3,3,10,kogudus; orel; sünnipäev
3,3,3,3,3,3,3,3,3,10,kogudus; orel; sünnipäev
3,3,3,3,3,3,3,3,3,10,kogudus; orel; sünnipäev
3,3,3,3,3,3,3,3,3,10,kogudus; orel; sünnipäev
3,3,3,3,3,3,3,3,3,10,kogudus; orel; sünnipäev
3,3,3,3,3,3,3,3,3,10,kogudus; orel; sünnipäev
3,3,3,3,3,3,3,3,3,10,kogudus; orel; sünnipäev
