EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,2,4,3,4,3,4,3,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
2,2,2,4,3,5,3,4,3,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
1,2,3,4,3,5,3,4,3,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
1,2,3,4,3,5,2,3,3,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
1,2,4,4,3,5,2,3,3,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
1,2,3,4,3,3,1,3,2,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
1,3,3,4,2,3,2,2,2,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
1,2,3,3,2,2,2,4,2,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
1,2,3,3,1,4,2,2,2,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
2,2,2,3,2,4,2,2,2,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
2,2,1,3,1,4,2,1,1,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
