EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,2,4,4,1,5,3,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,4,4,2,4,5,2,5,3,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,4,5,2,5,5,2,5,3,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,4,5,2,5,4,2,5,3,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,4,4,2,5,2,3,5,3,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,4,4,2,4,3,2,4,3,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,4,3,4,4,2,2,5,3,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
3,3,3,5,4,3,2,5,3,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,4,3,5,4,3,2,4,3,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,4,3,5,4,3,2,4,3,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,3,3,5,4,3,2,5,3,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
