EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,9,9,9,9,9,9,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
9,9,9,9,9,9,9,9,9,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
9,9,9,9,9,9,9,9,9,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
9,9,9,9,9,9,9,9,9,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
9,9,9,9,9,9,9,9,9,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
9,9,9,9,9,9,9,9,9,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
9,9,9,9,9,9,9,9,9,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
9,9,9,9,9,9,9,9,9,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
9,9,9,9,9,9,9,9,9,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
9,9,9,9,9,9,9,9,9,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
9,9,9,9,9,9,9,9,9,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
