EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,8,8,7,7,5,7,8,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
6,5,8,8,7,8,5,7,8,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
6,5,8,8,7,8,5,7,8,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
6,5,9,8,7,7,5,7,8,14,soolariiul; martin; ilmar; tomusk; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
6,4,9,7,8,7,6,7,8,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
7,5,8,7,8,8,8,7,8,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
7,5,8,7,8,9,7,8,9,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
7,8,8,7,9,9,7,8,9,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
8,7,8,5,9,9,7,9,7,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
8,6,7,4,10,8,9,8,8,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
8,5,8,5,9,8,9,8,8,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
