EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,3,1,2,4,4,2,1,11,ema; katariina; ronima; redel; kooli; poiss
2,3,3,1,2,4,4,2,1,11,ema; katariina; ronima; redel; kooli; poiss
2,3,4,1,1,3,4,1,1,11,ema; katariina; ronima; redel; kooli; poiss
3,3,4,1,1,2,3,1,1,11,ema; katariina; ronima; redel; kooli; poiss
3,3,3,1,1,2,3,1,1,11,ema; katariina; ronima; redel; kooli; poiss
2,3,3,2,1,3,3,1,1,11,ema; katariina; ronima; redel; kooli; poiss
1,3,3,1,1,4,2,2,1,11,ema; katariina; ronima; redel; kooli; poiss
1,3,3,2,1,4,3,1,1,11,ema; katariina; ronima; redel; kooli; poiss
2,3,3,3,2,4,2,1,3,11,ema; katariina; ronima; redel; kooli; poiss
2,2,2,3,3,4,2,2,4,11,ema; katariina; ronima; redel; kooli; poiss
3,2,2,3,4,3,2,2,3,11,ema; katariina; ronima; redel; kooli; poiss
