EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,3,3,6,4,6,2,6,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,5,5,3,6,4,5,2,6,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,5,5,3,6,4,5,2,6,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,5,4,3,6,4,5,3,6,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,5,4,3,6,4,3,4,5,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,5,4,2,6,5,5,2,5,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,5,2,6,5,5,3,5,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,5,4,4,5,5,5,5,5,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,4,5,5,5,5,5,5,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,4,4,5,6,5,5,5,13,johan; isa; torm; ütlemata; ema; kon-tiki
3,4,4,4,5,6,5,5,4,13,johan; isa; torm; ütlemata; ema; kon-tiki
