EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,3,1,3,3,3,2,1,10,sihtrühm; fbi; ahnus; strateegia
3,4,3,1,3,3,3,2,1,10,sihtrühm; fbi; ahnus; strateegia
3,4,3,1,3,3,4,2,1,10,sihtrühm; fbi; ahnus; strateegia
3,4,4,1,4,3,3,2,1,10,sihtrühm; fbi; ahnus; strateegia
3,4,4,1,4,3,4,2,1,10,sihtrühm; fbi; ahnus; strateegia
3,4,4,1,4,2,3,3,1,10,sihtrühm; fbi; ahnus; strateegia
2,4,2,1,4,2,3,4,1,10,sihtrühm; fbi; ahnus; strateegia
3,4,2,3,4,2,2,3,1,10,sihtrühm; fbi; ahnus; strateegia
3,4,3,2,4,2,2,3,2,10,sihtrühm; fbi; ahnus; strateegia
2,4,2,3,3,2,2,3,2,10,sihtrühm; fbi; ahnus; strateegia
3,4,4,3,3,3,3,3,3,10,sihtrühm; fbi; ahnus; strateegia
