EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,3,0,2,2,1,2,2,12,amazonas; päikese; inka; kindlus; surnute; linn
5,3,3,0,2,2,1,2,2,12,amazonas; päikese; inka; kindlus; surnute; linn
5,3,3,0,2,2,1,3,1,12,amazonas; päikese; inka; kindlus; surnute; linn
5,3,3,0,2,2,1,4,1,12,amazonas; päikese; inka; kindlus; surnute; linn
5,3,4,0,3,5,1,4,1,12,amazonas; päikese; inka; kindlus; surnute; linn
5,2,2,1,3,3,2,3,2,12,amazonas; päikese; inka; kindlus; surnute; linn
3,3,3,2,3,2,5,2,2,12,amazonas; päikese; inka; kindlus; surnute; linn
3,1,3,2,3,2,4,3,2,12,amazonas; päikese; inka; kindlus; surnute; linn
2,4,3,4,3,1,3,2,2,12,amazonas; päikese; inka; kindlus; surnute; linn
2,3,4,4,3,2,4,2,1,12,amazonas; päikese; inka; kindlus; surnute; linn
1,1,4,4,3,2,4,2,2,12,amazonas; päikese; inka; kindlus; surnute; linn
