EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,2,8,4,1,7,6,2,3,16,juurapiid; elering; üleeuroopaline; rahvakultuurifestival; eurole; komisjon; tartu; osaühing; laevaliiklus; euroopa; ida-virumaa
8,3,8,4,1,6,6,3,3,16,juurapiid; elering; üleeuroopaline; rahvakultuurifestival; eurole; komisjon; tartu; osaühing; laevaliiklus; euroopa; ida-virumaa
8,3,6,4,1,6,5,3,3,16,juurapiid; elering; üleeuroopaline; rahvakultuurifestival; eurole; komisjon; tartu; osaühing; laevaliiklus; euroopa; ida-virumaa
8,3,6,4,1,4,5,2,3,16,juurapiid; elering; üleeuroopaline; rahvakultuurifestival; eurole; komisjon; tartu; osaühing; laevaliiklus; euroopa; ida-virumaa
8,3,6,2,2,4,5,3,3,16,juurapiid; elering; üleeuroopaline; rahvakultuurifestival; eurole; komisjon; tartu; osaühing; laevaliiklus; euroopa; ida-virumaa
8,5,6,1,3,4,4,3,3,16,juurapiid; elering; üleeuroopaline; rahvakultuurifestival; eurole; komisjon; tartu; osaühing; laevaliiklus; euroopa; ida-virumaa
6,3,6,4,4,3,6,1,3,16,juurapiid; elering; üleeuroopaline; rahvakultuurifestival; eurole; komisjon; tartu; osaühing; laevaliiklus; euroopa; ida-virumaa
3,6,6,4,5,1,2,2,3,16,juurapiid; elering; üleeuroopaline; eurole; rahvakultuurifestival; komisjon; tartu; osaühing; laevaliiklus; euroopa; ida-virumaa
4,4,5,4,5,1,1,2,3,16,juurapiid; elering; üleeuroopaline; eurole; rahvakultuurifestival; komisjon; tartu; osaühing; laevaliiklus; euroopa; ida-virumaa
6,4,4,2,4,2,1,4,3,16,juurapiid; elering; eurole; üleeuroopaline; rahvakultuurifestival; komisjon; tartu; osaühing; laevaliiklus; euroopa; ida-virumaa
5,3,5,2,4,2,1,2,3,16,juurapiid; elering; eurole; üleeuroopaline; rahvakultuurifestival; komisjon; tartu; osaühing; laevaliiklus; euroopa; ida-virumaa
