EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,6,5,6,6,7,4,4,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
8,4,6,5,6,6,7,4,4,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
8,5,6,5,6,7,8,4,4,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
8,3,7,5,5,7,8,4,4,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
8,4,6,4,5,7,8,4,4,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
8,4,4,5,5,7,8,5,4,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
8,3,5,5,4,7,8,6,3,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
7,3,4,4,4,5,6,6,4,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
6,4,7,6,6,7,7,6,5,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
3,4,6,6,7,8,6,7,6,12,kommunism; iroonia; imelaps; unt; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
5,4,6,6,6,8,5,6,6,12,kommunism; iroonia; imelaps; unt; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
