EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,5,4,4,4,5,3,3,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
5,5,4,4,5,4,5,3,3,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
5,4,4,4,6,4,5,2,3,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
5,4,4,4,6,4,5,3,3,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
5,4,4,4,6,5,6,4,3,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
5,5,4,4,5,4,5,4,2,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
5,5,3,4,5,4,5,6,2,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
6,6,3,3,7,2,5,3,1,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
6,6,3,6,6,3,5,3,1,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
6,5,3,5,6,3,4,3,4,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
5,6,3,4,5,4,4,4,5,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
