word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
tere;INTJ;O;1;yes;149143;665;932062911
eetris;NOUN;O;1;no;15475;665;932062911
portaal;NOUN;O;1;no;11639;665;932062911
tehnoloogia;NOUN;O;2;no;61996;665;932062911
kommentaari;NOUN;O;2;no;60461;665;932062911
esitab;VERB;O;1;no;39429;665;932062911
Kristjan;PROPN;O;1;no;42007;665;932062911
Port;PROPN;O;1;no;1;665;932062911
.;PUNCT;O;40;no;0;665;932062911
möödunud;ADJ;O;1;no;119351;665;932062911
sajandi;NOUN;O;1;no;92226;665;932062911
seitsmekümnendatel;ADJ;O;1;no;652;665;932062911
võttis;VERB;O;1;no;190342;665;932062911
väikese;ADJ;O;2;no;97542;665;932062911
saareriigi;NOUN;O;1;no;866;665;932062911
Uus-Meremaa;PROPN;O;2;no;7545;665;932062911
peaminister;NOUN;O;2;no;62055;665;932062911
Robert;PROPN;O;2;no;38074;665;932062911
muldoon;NOUN;O;2;no;0;665;932062911
julguse;NOUN;O;1;no;5732;665;932062911
kokku;ADV;O;1;yes;1;665;932062911
ja;CCONJ;O;15;yes;1;665;932062911
käivitas;VERB;O;1;no;4454;665;932062911
projekti;NOUN;O;1;no;153252;665;932062911
,;PUNCT;O;37;no;0;665;932062911
mille;PRON;O;1;yes;1;665;932062911
pealkirjaks;NOUN;O;1;no;3672;665;932062911
oli;AUX;O;2;yes;1;665;932062911
mõtle;VERB;O;1;no;41800;665;932062911
suurelt;ADV;O;3;no;16072;665;932062911
mõteldes;VERB;O;1;no;310;665;932062911
tunduvad;VERB;O;1;no;1;665;932062911
suured;ADJ;O;3;no;139281;665;932062911
ettevõtmised;NOUN;O;1;no;3738;665;932062911
normaalse;ADJ;O;1;no;15869;665;932062911
tegevusena;NOUN;O;1;no;1453;665;932062911
inimesi;NOUN;O;2;no;293390;665;932062911
kammitse;VERB;O;1;no;156;665;932062911
halli;ADJ;O;1;no;17207;665;932062911
hiirekese;NOUN;O;1;no;168;665;932062911
hirmud;NOUN;O;1;no;6915;665;932062911
julgustas;VERB;O;1;no;2988;665;932062911
nägema;VERB;O;1;no;36839;665;932062911
taga;ADP;O;2;yes;1;665;932062911
suuremat;ADJ;O;1;no;73961;665;932062911
maailma;NOUN;O;6;no;358132;665;932062911
võtma;VERB;O;1;no;107646;665;932062911
suuri;ADJ;O;2;no;70192;665;932062911
välislaene;NOUN;O;1;no;18;665;932062911
tegema;VERB;O;2;yes;241833;665;932062911
maailmavajadusi;NOUN;O;2;no;0;665;932062911
teenindavaid;ADJ;O;1;no;185;665;932062911
projekte;NOUN;O;1;no;18876;665;932062911
see;DET;O;2;yes;1;665;932062911
taktika;NOUN;O;1;no;6122;665;932062911
edukas;ADJ;O;1;no;29542;665;932062911
sai;VERB;O;1;yes;1;665;932062911
peagi;ADV;O;2;yes;1;665;932062911
tunnustuseks;NOUN;O;1;no;1083;665;932062911
nimete;NOUN;O;1;no;7;665;932062911
sööri;NOUN;O;1;no;22;665;932062911
tiitli;NOUN;O;1;no;27125;665;932062911
tänase;ADJ;O;1;no;39179;665;932062911
jaoks;ADP;O;1;yes;2;665;932062911
sobivad;VERB;O;1;no;99059;665;932062911
mõtted;NOUN;O;1;no;51684;665;932062911
suurepäraselt;ADV;O;1;no;47568;665;932062911
mõtlemisaines;NOUN;O;1;no;8;665;932062911
pärineb;VERB;O;1;no;29755;665;932062911
son;NOUN;O;1;no;624;665;932062911
Maiklusestamisid;PROPN;O;1;no;0;665;932062911
eest;ADP;O;3;yes;1105733;665;932062911
vastutava;ADJ;O;1;no;2;665;932062911
asepresidendi;NOUN;O;1;no;3064;665;932062911
kreek;NOUN;O;5;no;113;665;932062911
papatoopo;NOUN;O;1;no;0;665;932062911
lause;NOUN;O;1;no;33235;665;932062911
loogist;NOUN;O;1;no;1;665;932062911
Kreegi;PROPN;O;1;no;1486;665;932062911
kommentaar;NOUN;O;1;no;51075;665;932062911
algab;VERB;O;1;no;159717;665;932062911
vihjega;NOUN;O;1;no;401;665;932062911
ühele;DET;O;1;yes;1;665;932062911
ajalukku;NOUN;O;1;no;8418;665;932062911
läinud;ADJ;O;1;yes;5;665;932062911
jamseni;NOUN;O;1;no;0;665;932062911
valeks;ADJ;O;1;no;2711;665;932062911
osutumise;NOUN;O;1;no;300;665;932062911
tõttu;ADP;O;1;yes;1;665;932062911
pilkamise;NOUN;O;1;no;84;665;932062911
töövahendina;NOUN;O;1;no;322;665;932062911
kuulsust;NOUN;O;1;no;5567;665;932062911
kogunud;ADJ;O;1;no;28908;665;932062911
tsitaadiga;NOUN;O;1;no;620;665;932062911
IBM-i;PROPN;O;2;no;258;665;932062911
kunagiselt;ADV;O;1;no;227;665;932062911
peadirektor;NOUN;O;1;no;9298;665;932062911
Toomas;PROPN;O;2;no;53356;665;932062911
vaatsonilt;NOUN;O;1;no;0;665;932062911
tagasihoidlikust;ADJ;O;1;no;604;665;932062911
kompaniist;NOUN;O;1;no;170;665;932062911
läbi;ADP;O;1;yes;1;665;932062911
majanduskriisi;NOUN;O;1;no;5452;665;932062911
maailmamainega;NOUN;O;1;no;85;665;932062911
ettevõtteks;NOUN;O;1;no;1482;665;932062911
kujunenud;ADJ;O;1;no;1;665;932062911
Watson;PROPN;O;3;no;1;665;932062911
olevat;AUX;O;1;yes;184658;665;932062911
kunagi;ADV;O;2;yes;1;665;932062911
öelnud;VERB;O;1;no;74115;665;932062911
et;SCONJ;O;9;yes;1;665;932062911
ta;PRON;O;2;yes;1;665;932062911
ei;AUX;O;4;yes;13;665;932062911
