word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
teda;PRON;O;7;yes;378606;14924;932062911
isegi;ADV;O;10;yes;2;14924;932062911
müüs;VERB;O;1;no;13211;14924;932062911
omal;PRON;O;6;yes;81704;14924;932062911
ühe;DET;O;9;yes;2;14924;932062911
lehma;NOUN;O;1;no;7288;14924;932062911
ära;ADV;O;27;yes;1;14924;932062911
selleks;PRON;O;7;yes;1;14924;932062911
klaverit;NOUN;O;6;no;3865;14924;932062911
ostma;VERB;O;1;no;35163;14924;932062911
kõik;PRON;O;36;yes;1;14924;932062911
selle;PRON;O;26;yes;2;14924;932062911
eest;ADP;O;7;yes;1105733;14924;932062911
seisnud;VERB;O;1;no;20160;14924;932062911
muusikaliselt;ADV;O;1;no;2115;14924;932062911
eile;ADV;O;1;no;1;14924;932062911
läheks;VERB;O;1;yes;52414;14924;932062911
eks;ADV;O;29;yes;278151;14924;932062911
need;DET;O;25;yes;1283582;14924;932062911
esimesed;ADJ;O;3;no;105971;14924;932062911
aastad;NOUN;O;2;no;32623;14924;932062911
olidki;AUX;O;1;no;6729;14924;932062911
ilusat;ADJ;O;1;no;29930;14924;932062911
põnevat;ADJ;O;1;no;23125;14924;932062911
tuleb;VERB;O;27;yes;1;14924;932062911
faas;NOUN;O;1;no;4726;14924;932062911
kus;ADV;O;35;yes;1;14924;932062911
lapsed;NOUN;O;1;no;244765;14924;932062911
tahaks;VERB;O;9;no;208827;14924;932062911
teha;VERB;O;34;yes;1;14924;932062911
kõike;DET;O;1;yes;3;14924;932062911
muud;PRON;O;9;yes;302198;14924;932062911
ta;PRON;O;110;yes;1;14924;932062911
tegin;VERB;O;6;yes;135051;14924;932062911
kõike;PRON;O;7;yes;3;14924;932062911
võimalikku;ADJ;O;1;no;15959;14924;932062911
arvan;VERB;O;25;no;1;14924;932062911
panin;VERB;O;1;no;74032;14924;932062911
Klaadi;PROPN;O;1;no;0;14924;932062911
Kraasid;PROPN;O;1;no;0;14924;932062911
vastu;ADP;O;6;yes;1;14924;932062911
radiaatoreid;NOUN;O;1;no;473;14924;932062911
üritasin;VERB;O;1;no;15795;14924;932062911
ennast;PRON;O;14;yes;2;14924;932062911
haigeks;ADJ;O;1;no;11790;14924;932062911
küll;ADV;O;25;yes;1;14924;932062911
välja;ADV;O;16;yes;1;14924;932062911
asju;NOUN;O;10;no;2;14924;932062911
no;INTJ;O;20;no;1;14924;932062911
range;ADJ;O;1;no;13122;14924;932062911
oled;AUX;O;10;yes;383406;14924;932062911
millegagi;PRON;O;1;yes;12116;14924;932062911
alustan;VERB;O;2;no;8390;14924;932062911
viid;VERB;O;1;no;2651;14924;932062911
selle;DET;O;28;yes;2;14924;932062911
asjaga;NOUN;O;2;no;28687;14924;932062911
lõpuni;NOUN;O;3;no;109397;14924;932062911
me;PRON;O;53;yes;1;14924;932062911
käisime;VERB;O;2;no;42459;14924;932062911
paar;NUM;O;4;no;1;14924;932062911
aastat;NOUN;O;15;no;581405;14924;932062911
isa;NOUN;O;25;no;1;14924;932062911
niisugune;PRON;O;1;yes;18292;14924;932062911
hella;ADJ;O;1;no;1968;14924;932062911
südamega;NOUN;O;3;no;17094;14924;932062911
sooja;ADJ;O;2;no;77156;14924;932062911
miks;ADV;O;10;yes;1;14924;932062911
seda;DET;O;23;yes;2;14924;932062911
last;NOUN;O;1;no;100092;14924;932062911
piinama;VERB;O;2;no;1210;14924;932062911
tänu;ADP;O;4;yes;1;14924;932062911
