word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
Kammerkoorile;PROPN;O;1;no;3;2626;932062911
ellerhein;NOUN;O;1;no;97;2626;932062911
ja;CCONJ;O;68;yes;1;2626;932062911
tema;PRON;O;3;yes;1;2626;932062911
dirigendile;NOUN;O;1;no;279;2626;932062911
Tõnu;PROPN;O;1;no;35437;2626;932062911
Kaljuste;PROPN;O;1;no;5345;2626;932062911
on;AUX;O;40;yes;1;2626;932062911
põhjust;NOUN;O;2;no;71179;2626;932062911
praegu;ADV;O;1;yes;1;2626;932062911
kolm;NUM;O;2;no;357415;2626;932062911
korda;NOUN;O;1;no;1;2626;932062911
hüüda;VERB;O;1;no;1748;2626;932062911
.;PUNCT;O;127;no;0;2626;932062911
hurraa;NOUN;O;1;yes;1903;2626;932062911
,;PUNCT;O;190;no;0;2626;932062911
sest;SCONJ;O;7;yes;1;2626;932062911
te;PRON;O;2;yes;1;2626;932062911
tulite;VERB;O;1;yes;2037;2626;932062911
Ungarist;PROPN;O;2;no;1737;2626;932062911
rahvusvaheliselt;ADV;O;1;no;15125;2626;932062911
laulukonkursilt;NOUN;O;1;no;14;2626;932062911
tagasi;ADV;O;2;yes;2;2626;932062911
kolmekordselt;ADV;O;1;no;784;2626;932062911
pärjatutena;NOUN;O;1;no;1;2626;932062911
kuidas;ADV;O;4;yes;2;2626;932062911
oli;AUX;O;57;yes;1;2626;932062911
see;PRON;O;21;yes;1;2626;932062911
teie;PRON;O;2;yes;1;2626;932062911
sinna;ADV;O;8;yes;1;2626;932062911
sattumine;NOUN;O;1;no;2508;2626;932062911
üldse;ADV;O;8;no;2;2626;932062911
millal;ADV;O;1;yes;1;2626;932062911
saite;AUX;O;1;yes;7708;2626;932062911
teada;VERB;O;1;no;1;2626;932062911
et;SCONJ;O;50;yes;1;2626;932062911
teil;PRON;O;4;yes;136063;2626;932062911
niisugune;DET;O;5;yes;18292;2626;932062911
võimalus;NOUN;O;2;no;2;2626;932062911
?;PUNCT;O;10;no;0;2626;932062911
sattusime;VERB;O;3;no;4414;2626;932062911
tänu;ADP;O;1;yes;1;2626;932062911
