word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
mõnusat;ADJ;O;1;no;14990;5572;932062911
päeva;NOUN;O;2;no;454271;5572;932062911
see;PRON;O;76;yes;1;5572;932062911
oli;AUX;O;24;yes;1;5572;932062911
Elis;PROPN;O;1;no;2083;5572;932062911
Regina;PROPN;O;1;no;5879;5572;932062911
ja;CCONJ;O;221;yes;1;5572;932062911
Roda;PROPN;O;1;no;190;5572;932062911
nimeline;ADJ;O;1;no;9148;5572;932062911
lugu;NOUN;O;24;no;232536;5572;932062911
.;PUNCT;O;205;no;0;5572;932062911
minu;PRON;O;20;yes;1;5572;932062911
nimi;NOUN;O;4;no;1;5572;932062911
on;AUX;O;184;yes;1;5572;932062911
Toomas;PROPN;O;1;no;53356;5572;932062911
Luhats;PROPN;O;1;no;538;5572;932062911
vaata;VERB;O;1;no;227312;5572;932062911
saadet;NOUN;O;2;no;16311;5572;932062911
muusikaklubi;NOUN;O;3;no;39;5572;932062911
Tallinna;PROPN;O;6;no;457387;5572;932062911
Kaubamaja;PROPN;O;1;no;6066;5572;932062911
täna;ADV;O;2;no;603123;5572;932062911
tuleb;VERB;O;6;yes;1;5572;932062911
juttu;NOUN;O;3;no;112144;5572;932062911
muusikast;NOUN;O;2;no;7966;5572;932062911
,;PUNCT;O;585;no;0;5572;932062911
unistustest;NOUN;O;3;no;1822;5572;932062911
muusikas;NOUN;O;4;no;7374;5572;932062911
nende;PRON;O;3;yes;2;5572;932062911
täitumisest;NOUN;O;2;no;342;5572;932062911
meie;PRON;O;4;yes;3;5572;932062911
saatekülaliseks;NOUN;O;1;no;437;5572;932062911
päike;NOUN;O;5;no;46186;5572;932062911
Helin-Mari;PROPN;O;13;no;314;5572;932062911
Arder;PROPN;O;7;no;666;5572;932062911
andekas;ADJ;O;1;no;9651;5572;932062911
ilus;ADJ;O;2;no;1;5572;932062911
noor;ADJ;O;1;no;81714;5572;932062911
lauljanna;NOUN;O;1;no;4564;5572;932062911
kelle;PRON;O;1;yes;349125;5572;932062911
eesnimi;NOUN;O;1;no;2;5572;932062911
muide;ADV;O;1;yes;1;5572;932062911
võrdelises;ADJ;O;1;no;1;5572;932062911
seoses;ADP;O;2;no;197064;5572;932062911
tema;PRON;O;9;yes;1;5572;932062911
põhitegevusega;NOUN;O;1;no;422;5572;932062911
tere;INTJ;O;3;yes;149143;5572;932062911
Helin;PROPN;O;2;no;1430;5572;932062911
mis;PRON;O;23;yes;1;5572;932062911
sinu;PRON;O;15;yes;1;5572;932062911
mõlemad;DET;O;1;yes;163928;5572;932062911
eesnimed;NOUN;O;1;no;438;5572;932062911
preeritud;ADJ;O;1;no;0;5572;932062911
kuidas;ADV;O;9;yes;2;5572;932062911
sulle;PRON;O;4;yes;1;5572;932062911
üldse;ADV;O;8;no;2;5572;932062911
nimed;NOUN;O;3;no;1;5572;932062911
pandi;VERB;O;3;no;51003;5572;932062911
?;PUNCT;O;23;no;0;5572;932062911
jah;ADV;O;20;yes;408065;5572;932062911
selline;DET;O;27;yes;532929;5572;932062911
huvitav;ADJ;O;12;no;166761;5572;932062911
et;SCONJ;O;204;yes;1;5572;932062911
alguses;NOUN;O;3;no;1;5572;932062911
tegelikult;ADV;O;51;no;1;5572;932062911
pandigi;VERB;O;1;no;519;5572;932062911
helin;NOUN;O;5;no;1261;5572;932062911
ma;PRON;O;94;yes;2;5572;932062911
ei;AUX;O;75;yes;13;5572;932062911
tea;VERB;O;2;no;1;5572;932062911
kus;ADV;O;9;yes;1;5572;932062911
mu;PRON;O;5;yes;521240;5572;932062911
vanematel;NOUN;O;2;no;11837;5572;932062911
senini;ADV;O;1;no;13831;5572;932062911
pähe;NOUN;O;1;yes;67778;5572;932062911
tuli;VERB;O;6;yes;1;5572;932062911
aga;CCONJ;O;71;yes;1;5572;932062911
neile;PRON;O;3;yes;1;5572;932062911
kangesti;ADV;O;3;no;7780;5572;932062911
