word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
head;ADJ;O;4;no;1;8222;932062911
kuulajad;NOUN;O;1;no;3770;8222;932062911
alanud;ADJ;O;1;no;40879;8222;932062911
saates;NOUN;O;2;no;52531;8222;932062911
vestlusi;NOUN;O;1;no;3445;8222;932062911
kultuurist;NOUN;O;1;no;7699;8222;932062911
kuulame;VERB;O;1;no;4011;8222;932062911
viimast;ADJ;O;2;no;59204;8222;932062911
osa;NOUN;O;6;no;1;8222;932062911
eetika;NOUN;O;10;no;5572;8222;932062911
ja;CCONJ;O;220;yes;1;8222;932062911
kultuuriteemalisest;ADJ;O;1;no;1;8222;932062911
tuuri;NOUN;O;1;yes;7592;8222;932062911
foorumist;NOUN;O;1;no;10820;8222;932062911
,;PUNCT;O;915;no;0;8222;932062911
mis;PRON;O;55;yes;1;8222;932062911
toimus;VERB;O;1;no;172413;8222;932062911
Eesti;PROPN;O;7;no;1;8222;932062911
muusika;NOUN;O;3;no;1;8222;932062911
päevade;NOUN;O;2;no;17797;8222;932062911
raames;ADP;O;2;no;128767;8222;932062911
teisel;ADJ;O;3;yes;144232;8222;932062911
aprillil;NOUN;O;2;no;65917;8222;932062911
Mustpeade;PROPN;O;1;no;1891;8222;932062911
maja;NOUN;O;15;no;229948;8222;932062911
kambris;NOUN;O;1;no;1574;8222;932062911
.;PUNCT;O;250;no;0;8222;932062911
kultuurifoorumi;NOUN;O;2;no;30;8222;932062911
eetikast;NOUN;O;2;no;860;8222;932062911
kultuuris;NOUN;O;1;no;8039;8222;932062911
on;AUX;O;246;yes;1;8222;932062911
kutsunud;VERB;O;1;no;13023;8222;932062911
ellu;NOUN;O;2;no;1;8222;932062911
helilooja;NOUN;O;2;no;19844;8222;932062911
laia;ADJ;O;1;no;29062;8222;932062911
silmaringiga;NOUN;O;1;no;1588;8222;932062911
humanitaarMärt-Matis;PROPN;O;1;no;0;8222;932062911
Lill;PROPN;O;4;no;4914;8222;932062911
kes;PRON;O;26;yes;1;8222;932062911
selleteemalist;ADJ;O;1;no;496;8222;932062911
arutelu;NOUN;O;2;no;1;8222;932062911
korraldas;VERB;O;2;no;22701;8222;932062911
juba;ADV;O;20;yes;1;8222;932062911
2012.;ADJ;O;1;no;0;8222;932062911
aasta;NOUN;O;4;no;2;8222;932062911
päevadel;NOUN;O;1;no;30466;8222;932062911
sel;DET;O;4;yes;1;8222;932062911
aastal;NOUN;O;1;no;1128701;8222;932062911
osalesid;VERB;O;1;no;24437;8222;932062911
foorumil;NOUN;O;1;no;6566;8222;932062911
eri;ADJ;O;1;no;126205;8222;932062911
valdkondade;NOUN;O;2;no;10837;8222;932062911
kirjandusel;NOUN;O;1;no;288;8222;932062911
kunsti;NOUN;O;18;no;45765;8222;932062911
arhitektuuri;NOUN;O;9;no;14584;8222;932062911
teatri;NOUN;O;2;no;35581;8222;932062911
filmialal;NOUN;O;1;no;22;8222;932062911
tegutsevad;ADJ;O;1;no;23377;8222;932062911
kultuuriinimesed;NOUN;O;1;no;574;8222;932062911
Mihkel;PROPN;O;2;no;33429;8222;932062911
Kunnus;PROPN;O;2;no;800;8222;932062911
Mari;PROPN;O;2;no;30025;8222;932062911
Kartau;PROPN;O;1;no;472;8222;932062911
Margit;PROPN;O;7;no;11930;8222;932062911
Mutso;PROPN;O;6;no;1077;8222;932062911
Jaanika;PROPN;O;3;no;6420;8222;932062911
Juhanson;PROPN;O;2;no;1152;8222;932062911
Liivo;PROPN;O;3;no;443;8222;932062911
Niglas;PROPN;O;2;no;822;8222;932062911
vestlusringi;NOUN;O;1;no;1186;8222;932062911
moderaator;NOUN;O;3;no;4657;8222;932062911
oli;AUX;O;41;yes;1;8222;932062911
Märt-Matis;PROPN;O;4;no;598;8222;932062911
viimasena;ADJ;O;1;no;11773;8222;932062911
astub;VERB;O;1;no;26408;8222;932062911
kultuurifoorumil;NOUN;O;2;no;11;8222;932062911
oma;PRON;O;17;yes;1;8222;932062911
ettekandega;NOUN;O;1;no;2185;8222;932062911
ülesse;NOUN;O;1;yes;24447;8222;932062911
arhitekt;NOUN;O;14;no;11630;8222;932062911
kuulub;VERB;O;1;no;124129;8222;932062911
arhitektide;NOUN;O;7;no;3518;8222;932062911
liidu;NOUN;O;1;no;115815;8222;932062911
eestseisusesse;NOUN;O;1;no;121;8222;932062911
sirbi;NOUN;O;1;no;481;8222;932062911
arhitektuuritoimetaja;NOUN;O;1;no;22;8222;932062911
tegutseb;VERB;O;1;no;38687;8222;932062911
arhitektina;NOUN;O;1;no;634;8222;932062911
alates;ADP;O;4;yes;1;8222;932062911
1996.-st;ADJ;O;1;no;0;8222;932062911
aastast;NOUN;O;1;no;178832;8222;932062911
lõpetanud;VERB;O;1;no;43536;8222;932062911
riikliku;ADJ;O;1;no;44899;8222;932062911
kunstiinstituudi;NOUN;O;1;no;856;8222;932062911
Tuudin;PROPN;O;1;no;0;8222;932062911
arhitektuuriteaduskonna;NOUN;O;1;no;387;8222;932062911
olnud;AUX;O;16;yes;3;8222;932062911
aastail;NOUN;O;1;no;14193;8222;932062911
2004;NUM;O;1;no;0;8222;932062911
kuni;CCONJ;O;1;yes;1;8222;932062911
2006;NUM;O;1;no;0;8222;932062911
Arhitektide;PROPN;O;4;no;2014;8222;932062911
Liidu;PROPN;O;3;no;179189;8222;932062911
esimees;NOUN;O;3;no;91160;8222;932062911
Tallinna;PROPN;O;7;no;457387;8222;932062911
arhitektuurikomisjoni;NOUN;O;2;no;9;8222;932062911
liige;NOUN;O;1;no;1;8222;932062911
ning;CCONJ;O;2;yes;5765046;8222;932062911
Kultuuriministeeriumi;PROPN;O;1;no;2145;8222;932062911
juures;ADP;O;4;yes;2;8222;932062911
töötava;ADJ;O;1;no;1;8222;932062911
peale;ADP;O;16;yes;1;8222;932062911
selle;PRON;O;26;yes;2;8222;932062911
ta;PRON;O;52;yes;1;8222;932062911
toimetanud;VERB;O;1;no;5503;8222;932062911
mitmeid;DET;O;2;yes;134579;8222;932062911
arhitektuuriteemalisi;ADJ;O;1;no;12;8222;932062911
telesaateid;NOUN;O;1;no;855;8222;932062911
filme;NOUN;O;2;no;23505;8222;932062911
kirjutanud;VERB;O;1;no;53250;8222;932062911
hulganisti;ADV;O;1;no;6289;8222;932062911
artikleid;NOUN;O;1;no;18789;8222;932062911
välkloengute;NOUN;O;1;no;14;8222;932062911
sarja;NOUN;O;1;no;56630;8222;932062911
niisiis;ADV;O;1;yes;49572;8222;932062911
kuulamegi;VERB;O;1;no;20;8222;932062911
ettekannet;NOUN;O;1;no;6306;8222;932062911
misjärel;ADV;O;1;no;8686;8222;932062911
