word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
tere;INTJ;O;1;yes;149143;14485;932062911
õhtust;NOUN;O;1;no;10221;14485;932062911
.;PUNCT;O;425;no;0;14485;932062911
meie;PRON;O;38;yes;3;14485;932062911
siin;ADV;O;62;yes;1;14485;932062911
,;PUNCT;O;1457;no;0;14485;932062911
Eesti;PROPN;O;10;no;1;14485;932062911
raadio;NOUN;O;1;no;31472;14485;932062911
punases;ADJ;O;1;no;3551;14485;932062911
stuudios;NOUN;O;1;no;17679;14485;932062911
oleme;AUX;O;21;yes;419376;14485;932062911
juba;ADV;O;53;yes;1;14485;932062911
tugitoolis;NOUN;O;2;no;1649;14485;932062911
istet;NOUN;O;1;no;5665;14485;932062911
võtnud;VERB;O;1;no;143292;14485;932062911
Kaarel;PROPN;O;5;no;13464;14485;932062911
Orviku;PROPN;O;5;no;174;14485;932062911
geoloogiadoktor;NOUN;O;2;no;53;14485;932062911
üle;ADP;O;10;yes;2;14485;932062911
30;NUM;O;6;no;0;14485;932062911
aasta;NOUN;O;15;no;2;14485;932062911
töötanud;ADJ;O;1;no;59597;14485;932062911
geoloogia;NOUN;O;2;no;2356;14485;932062911
instituudis;NOUN;O;1;no;7070;14485;932062911
ja;CCONJ;O;543;yes;1;14485;932062911
nüüd;ADV;O;107;yes;1116542;14485;932062911
inseneribüroos;NOUN;O;1;no;31;14485;932062911
Merin;PROPN;O;1;no;28;14485;932062911
kus;ADV;O;63;yes;1;14485;932062911
tegeldakse;VERB;O;1;no;2676;14485;932062911
sadamate;NOUN;O;1;no;3745;14485;932062911
projekteerimisega;NOUN;O;1;no;1003;14485;932062911
käsil;ADV;O;1;no;11414;14485;932062911
Kunda;PROPN;O;3;no;5596;14485;932062911
selja;NOUN;O;2;no;40690;14485;932062911
taga;ADP;O;9;yes;1;14485;932062911
Roomassaare;PROPN;O;1;no;2073;14485;932062911
jahisadamapaberite;NOUN;O;1;no;0;14485;932062911
peal;ADP;O;11;yes;1;14485;932062911
tegemine;NOUN;O;3;no;52634;14485;932062911
kohapeal;ADV;O;3;no;135489;14485;932062911
välja;ADV;O;29;yes;1;14485;932062911
mõõdistamine;NOUN;O;1;no;385;14485;932062911
kõik;DET;O;27;yes;1;14485;932062911
see;PRON;O;172;yes;1;14485;932062911
mis;PRON;O;85;yes;1;14485;932062911
sellele;PRON;O;5;yes;1;14485;932062911
eelneb;VERB;O;1;no;3509;14485;932062911
on;AUX;O;422;yes;1;14485;932062911
uurimistöödejuhataja;NOUN;O;1;no;0;14485;932062911
projektijuht;NOUN;O;1;no;11119;14485;932062911
samuti;ADV;O;4;yes;745699;14485;932062911
omab;VERB;O;1;no;31738;14485;932062911
ökoloogilise;ADJ;O;1;no;3288;14485;932062911
ekspertiisi;NOUN;O;1;no;4334;14485;932062911
litsentsi;NOUN;O;1;no;8361;14485;932062911
ehk;CCONJ;O;5;yes;1;14485;932062911
õigusi;NOUN;O;2;no;1;14485;932062911
tema;PRON;O;26;yes;1;14485;932062911
kõrval;ADP;O;2;yes;1;14485;932062911
Veljo;PROPN;O;4;no;5709;14485;932062911
Ranniku;PROPN;O;3;no;1205;14485;932062911
keskkonnast;NOUN;O;1;no;8546;14485;932062911
ministeeriumi;NOUN;O;2;no;14229;14485;932062911
looduskaitse;NOUN;O;1;no;8929;14485;932062911
kasutuse;NOUN;O;1;no;7905;14485;932062911
osakonna;NOUN;O;1;no;47181;14485;932062911
nõunik;NOUN;O;2;no;11544;14485;932062911
mees;NOUN;O;2;no;1;14485;932062911
kes;PRON;O;12;yes;1;14485;932062911
tegeleb;VERB;O;2;no;53245;14485;932062911
ka;ADV;O;115;yes;3;14485;932062911
paljude;PRON;O;2;no;96572;14485;932062911
asjadega;NOUN;O;2;no;25657;14485;932062911
looduse;NOUN;O;4;no;44859;14485;932062911
keskkonna;NOUN;O;1;no;1;14485;932062911
heaks;ADP;O;1;yes;101106;14485;932062911
aga;CCONJ;O;114;yes;1;14485;932062911
viimasel;ADJ;O;4;no;147453;14485;932062911
ajal;NOUN;O;17;no;1;14485;932062911
ma;PRON;O;74;yes;2;14485;932062911
olen;AUX;O;8;yes;1162614;14485;932062911
märganud;VERB;O;1;no;24871;14485;932062911
et;SCONJ;O;327;yes;1;14485;932062911
rannad;NOUN;O;7;no;4559;14485;932062911
kuidagi;ADV;O;13;yes;228795;14485;932062911
sinu;PRON;O;2;yes;1;14485;932062911
armastuste;NOUN;O;1;no;65;14485;932062911
reas;NOUN;O;1;no;9549;14485;932062911
esiplaanile;NOUN;O;1;no;2051;14485;932062911
tõusnud;VERB;O;5;no;44238;14485;932062911
lävidsin;VERB;O;1;no;0;14485;932062911
välismaalastega;NOUN;O;1;no;753;14485;932062911
asju;NOUN;O;9;no;2;14485;932062911
targemini;ADV;O;3;no;418;14485;932062911
ajada;VERB;O;1;no;56631;14485;932062911
seaduseelnõude;NOUN;O;1;no;407;14485;932062911
poole;ADP;O;15;yes;1;14485;932062911
sihide;NOUN;O;1;no;0;14485;932062911
tika;NOUN;O;1;no;219;14485;932062911
randasid;NOUN;O;2;no;258;14485;932062911
kaitsta;VERB;O;8;no;60595;14485;932062911
kui;SCONJ;O;122;yes;1;14485;932062911
vahel;ADV;O;6;yes;1;14485;932062911
talvised;ADJ;O;1;no;2879;14485;932062911
tormid;NOUN;O;8;no;1566;14485;932062911
rannast;NOUN;O;8;no;12423;14485;932062911
liiva;NOUN;O;24;no;15925;14485;932062911
ära;ADV;O;50;yes;1;14485;932062911
viinud;VERB;O;2;no;31492;14485;932062911
siis;ADV;O;174;yes;1;14485;932062911
sa;PRON;O;11;yes;1;14485;932062911
oled;AUX;O;1;yes;383406;14485;932062911
murelik;ADJ;O;1;no;3147;14485;932062911
ütled;VERB;O;1;no;11731;14485;932062911
peaks;AUX;O;14;yes;4;14485;932062911
rääkima;VERB;O;5;no;46461;14485;932062911
selgitama;VERB;O;2;no;8366;14485;932062911
nii;ADV;O;128;yes;1;14485;932062911
mulle;PRON;O;4;yes;1;14485;932062911
tundub;VERB;O;3;no;283633;14485;932062911
teile;PRON;O;2;yes;136281;14485;932062911
mõlemale;PRON;O;1;yes;17581;14485;932062911
see;DET;O;77;yes;1;14485;932062911
teema;NOUN;O;1;no;1;14485;932062911
mille;PRON;O;6;yes;1;14485;932062911
suur;ADJ;O;14;no;1;14485;932062911
pealkiri;NOUN;O;1;no;7;14485;932062911
oleks;AUX;O;6;yes;1;14485;932062911
täna;ADV;O;2;no;603123;14485;932062911
õhtul;NOUN;O;1;no;207105;14485;932062911
kuni;ADP;O;5;yes;1;14485;932062911
Päevakaja;PROPN;O;1;no;100;14485;932062911
tõepoolest;ADV;O;12;no;72985;14485;932062911
ligi;ADV;O;7;yes;191258;14485;932062911
kaks;NUM;O;8;no;2;14485;932062911
tundi;NOUN;O;2;no;179391;14485;932062911
me;PRON;O;122;yes;1;14485;932062911
tahame;VERB;O;3;no;41821;14485;932062911
teie;PRON;O;4;yes;1;14485;932062911
meeli;NOUN;O;1;no;6297;14485;932062911
köita;VERB;O;1;no;1596;14485;932062911
rannikuriigid;NOUN;O;2;no;45;14485;932062911
rannarahvad;NOUN;O;2;no;6;14485;932062911
maailma;NOUN;O;11;no;358132;14485;932062911
meretõus;NOUN;O;3;no;8;14485;932062911
mina;PRON;O;11;yes;1;14485;932062911
kolmandana;ADJ;O;1;no;6529;14485;932062911
veel;ADV;O;44;yes;3;14485;932062911
natukene;ADV;O;16;no;1;14485;932062911
sissejuhatuseks;NOUN;O;1;no;3015;14485;932062911
jätkaksin;VERB;O;1;no;219;14485;932062911
geoloogilist;ADJ;O;1;no;296;14485;932062911
aja;NOUN;O;4;no;309245;14485;932062911
kella;NOUN;O;1;no;167293;14485;932062911
kasutada;VERB;O;6;no;1;14485;932062911
ei;AUX;O;171;yes;13;14485;932062911
ole;AUX;O;84;yes;1;14485;932062911
ju;ADV;O;23;yes;843987;14485;932062911
veetõus;NOUN;O;5;no;105;14485;932062911
tõus;NOUN;O;7;no;21141;14485;932062911
langus;NOUN;O;2;no;15295;14485;932062911
midagi;PRON;O;24;yes;1;14485;932062911
enneolematut;ADJ;O;1;no;2172;14485;932062911
olnud;AUX;O;20;yes;3;14485;932062911
piibliski;NOUN;O;1;no;30;14485;932062911
sellest;PRON;O;20;yes;933385;14485;932062911
põhjalikult;ADV;O;1;no;37340;14485;932062911
kirjutatud;VERB;O;1;no;80718;14485;932062911
näiteks;ADV;O;13;no;1;14485;932062911
Võrtsjärv;PROPN;O;1;no;401;14485;932062911
keskel;ADP;O;1;yes;73391;14485;932062911
paarteist;ADV;O;1;no;148;14485;932062911
1000;NUM;O;4;no;0;14485;932062911
aastat;NOUN;O;12;no;581405;14485;932062911
tagasi;ADP;O;7;yes;2;14485;932062911
oli;AUX;O;55;yes;1;14485;932062911
mitu;DET;O;4;yes;284945;14485;932062911
korda;NOUN;O;5;no;1;14485;932062911
suurem;ADJ;O;6;no;1;14485;932062911
vesi;NOUN;O;22;no;91413;14485;932062911
temasse;PRON;O;2;yes;5618;14485;932062911
voolas;VERB;O;1;no;4212;14485;932062911
hoopis;ADV;O;8;yes;1;14485;932062911
Peipsi;PROPN;O;3;no;11881;14485;932062911
poolt;ADP;O;14;yes;1;14485;932062911
Navesti;PROPN;O;1;no;447;14485;932062911
Viljandi;PROPN;O;1;no;78470;14485;932062911
vagumiku;NOUN;O;1;no;0;14485;932062911
kaudu;ADP;O;2;yes;1;14485;932062911
läände;NOUN;O;2;no;4684;14485;932062911
viimaseid;ADJ;O;1;no;14104;14485;932062911
jõule;NOUN;O;1;no;12310;14485;932062911
meelde;NOUN;O;5;no;142642;14485;932062911
tuletame;VERB;O;1;no;4533;14485;932062911
tuhanded-tuhanded;NOUN;O;1;no;0;14485;932062911
sakslased;NOUN;O;1;no;1;14485;932062911
hollandlased;NOUN;O;1;no;1313;14485;932062911
pidid;AUX;O;1;yes;1;14485;932062911
paatidega;NOUN;O;1;no;934;14485;932062911
oma;PRON;O;27;yes;1;14485;932062911
kodudest;NOUN;O;1;no;3589;14485;932062911
põgenema;VERB;O;2;no;4311;14485;932062911
sest;SCONJ;O;25;yes;1;14485;932062911
tõusis;VERB;O;2;no;53354;14485;932062911
tohutult;ADV;O;3;no;25401;14485;932062911
kuigi;SCONJ;O;6;yes;497733;14485;932062911
tegu;NOUN;O;1;no;200874;14485;932062911
jõgede;NOUN;O;5;no;3479;14485;932062911
veetõusuga;NOUN;O;2;no;18;14485;932062911
arvata;VERB;O;1;no;80022;14485;932062911
