EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,3,0,0,2,2,3,1,10,iseseisvus; vabadus; kolhoos; varandus; õigus
1,1,3,0,0,2,2,3,1,10,iseseisvus; vabadus; kolhoos; varandus; õigus
1,1,3,0,0,2,2,3,1,10,iseseisvus; vabadus; kolhoos; varandus; õigus
1,1,3,0,0,2,2,3,1,10,iseseisvus; vabadus; kolhoos; varandus; õigus
1,1,3,0,0,2,2,3,1,10,iseseisvus; vabadus; kolhoos; varandus; õigus
1,1,3,0,0,2,2,3,1,10,iseseisvus; vabadus; kolhoos; varandus; õigus
1,1,3,0,0,2,2,3,1,10,iseseisvus; vabadus; kolhoos; varandus; õigus
1,1,3,0,0,2,2,3,1,10,iseseisvus; vabadus; kolhoos; varandus; õigus
1,1,3,0,0,2,2,3,1,10,iseseisvus; vabadus; kolhoos; varandus; õigus
1,1,3,0,0,2,2,3,1,10,iseseisvus; vabadus; kolhoos; varandus; õigus
0,1,3,0,1,2,2,3,1,10,iseseisvus; vabadus; kolhoos; varandus; õigus
