EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,0,2,0,2,0,2,0,13,lugema; lasteraamat; hiiu
0,0,0,2,0,2,0,2,0,13,lugema; lasteraamat; hiiu
0,0,0,2,0,2,0,2,0,13,lugema; lasteraamat; hiiu
0,0,0,2,0,2,0,2,0,13,lugema; lasteraamat; hiiu
0,0,0,2,0,2,0,2,0,13,lugema; lasteraamat; hiiu
0,0,0,2,0,2,0,2,0,13,lugema; lasteraamat; hiiu
0,0,0,2,0,2,0,2,0,13,lugema; lasteraamat; hiiu
0,0,0,1,0,2,0,2,1,13,lugema; lasteraamat; hiiu
0,0,0,1,0,2,0,2,0,13,lugema; lasteraamat; hiiu
0,0,0,2,0,2,1,2,0,13,lugema; lasteraamat; hiiu
0,0,0,2,0,2,1,3,0,13,lasteraamat; lugema; hiiu
