EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,2,0,1,1,2,1,0,10,traditsioon; laulupidu; repertuaar
1,2,2,0,1,1,2,1,0,10,traditsioon; laulupidu; repertuaar
1,2,2,0,1,1,2,1,0,10,traditsioon; laulupidu; repertuaar
1,2,2,0,1,1,2,1,0,10,traditsioon; laulupidu; repertuaar
1,2,2,0,1,1,2,1,0,10,traditsioon; laulupidu; repertuaar
1,2,2,0,1,1,2,1,0,10,traditsioon; laulupidu; repertuaar
1,2,2,0,1,1,2,1,0,10,traditsioon; laulupidu; repertuaar
1,2,2,0,1,1,2,1,0,10,traditsioon; laulupidu; repertuaar
1,2,2,0,1,1,2,1,0,10,traditsioon; laulupidu; repertuaar
1,2,2,0,1,1,2,1,0,10,traditsioon; laulupidu; repertuaar
1,2,2,0,1,1,2,1,0,10,traditsioon; laulupidu; repertuaar
