EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,1,0,0,3,2,2,2,12,ori; jumala; isa; sõna; vabaks; kannatlikkus
2,2,1,0,0,3,2,2,2,12,ori; jumala; isa; sõna; vabaks; kannatlikkus
2,2,1,0,0,3,2,2,2,12,ori; jumala; isa; sõna; vabaks; kannatlikkus
2,2,1,0,0,3,2,2,2,12,ori; jumala; isa; sõna; vabaks; kannatlikkus
2,2,1,0,0,3,2,2,2,12,ori; jumala; isa; sõna; vabaks; kannatlikkus
2,2,1,0,0,3,2,2,2,12,ori; jumala; isa; sõna; vabaks; kannatlikkus
2,2,1,0,0,3,2,2,2,12,ori; jumala; isa; sõna; vabaks; kannatlikkus
2,2,1,0,0,3,2,2,2,12,ori; jumala; isa; sõna; vabaks; kannatlikkus
2,2,1,0,0,3,2,2,2,12,ori; jumala; isa; sõna; vabaks; kannatlikkus
2,2,1,0,0,3,2,2,2,12,ori; jumala; isa; sõna; vabaks; kannatlikkus
2,2,1,0,0,3,2,2,2,12,ori; jumala; isa; sõna; vabaks; kannatlikkus
